CONFORMED-NAME	SIC	CIK	YEAR
AUTOMATIC DATA PROCESSING INC-95	7374	8670	1995
BI INC-95	7380	716629	1995
SANDS REGENT-95	7990	753899	1995
INTERNATIONAL THOROUGHBRED BREEDERS INC-95	7948	320573	1995
G&K SERVICES INC-95	7200	39648	1995
AMPLICON INC-95	7377	803016	1995
HENRY JACK & ASSOCIATES INC-95	7373	779152	1995
ALLIANCE GAMING CORP-95	7990	2491	1995
AMSERV HEALTHCARE INC-95	7363	78302	1995
CPT HOLDINGS INC-95	7373	25360	1995
SKI LTD-95	7990	755499	1995
BESTWAY RENTAL INC-95	7359	4344	1995
DATAPOINT CORP-95	7373	205239	1995
KING WORLD PRODUCTIONS INC-95	7822	756764	1995
STERLING SOFTWARE INC-95	7372	716714	1995
TODD AO CORP-95	7819	61442	1995
ROLLINS TRUCK LEASING CORP-95	7510	84244	1995
ACCLAIM ENTERTAINMENT INC-95	7372	804888	1995
XTRA CORP /DE/-95	7359	217591	1995
UNITEL VIDEO INC/DE-95	7819	740103	1995
DISNEY WALT CO-95	7990	29082	1995
CAM DATA SYSTEMS INC-95	7373	819334	1995
IKOS SYSTEMS INC-95	7373	756365	1995
AUTO TROL TECHNOLOGY CORP-95	7373	278048	1995
COMDISCO INC-95	7377	722487	1995
SYSTEMS & COMPUTER TECHNOLOGY CORP-95	7370	707606	1995
MPSI SYSTEMS INC-95	7372	714540	1995
LCS INDUSTRIES INC-95	7331	58151	1995
TRIAD SYSTEMS CORP-95	7373	313867	1995
BOWLINE CORP-95	7374	34682	1995
FAIR ISAAC & COMPANY INC-95	7389	814547	1995
MARIETTA CORP-95	7389	792969	1995
PHOENIX TECHNOLOGIES LTD-95	7372	832767	1995
SEATTLE FILMWORKS INC-95	7384	791050	1995
PARAMETRIC TECHNOLOGY CORP-95	7372	857005	1995
SOFTWARE PUBLISHING CORP-95	7372	755659	1995
MRI BUSINESS PROPERTIES FUND LTD III-95	7011	769635	1995
SUPER 8 ECONOMY LODGING IV LTD-95	7812	700664	1995
SUPER 8 MOTELS II LTD-95	7011	316554	1995
GENERAL AUTOMATION INC-95	7373	40443	1995
SAHARA GAMING CORP-95	7990	812482	1995
INSTRUCTIVISION INC-95	7812	770183	1995
BRANDON SYSTEMS CORP-95	7363	807782	1995
MRI BUSINESS PROPERTIES FUND LTD II-95	7011	745289	1995
RCM TECHNOLOGIES INC-96	7363	700841	1996
AMTECH SYSTEMS INC-96	7363	720500	1996
SYSTEM SOFTWARE ASSOCIATES INC-96	7372	808207	1996
KUSHNER LOCKE CO-96	7812	842009	1996
SCIOTO DOWNS INC-96	7948	87836	1996
NOVELL INC-96	7373	758004	1996
CONSILIUM INC-96	7372	795090	1996
GREENSTONE ROBERTS ADVERTISING INC-96	7311	845048	1996
DELTA COMPUTEC INC-96	7370	779338	1996
CENTURY PARK PICTURES CORP-96	7900	728387	1996
NOVA INTERNATIONAL FILMS INC-96	7812	773394	1996
FAIR GROUNDS CORP-96	7948	34236	1996
LA QUINTA INNS INC-96	7011	278243	1996
ADOBE SYSTEMS INC-96	7372	796343	1996
FISERV INC-96	7374	798354	1996
NOVA INTERNATIONAL FILMS INC-96	7812	773394	1996
CDI CORP-96	7363	18396	1996
NOVA INTERNATIONAL FILMS INC-96	7812	773394	1996
METROMEDIA INTERNATIONAL GROUP INC-96	7819	39547	1996
HARRAHS ENTERTAINMENT INC-96	7990	858339	1996
OLSTEN CORP-96	7363	74386	1996
CRI HOTEL INCOME PARTNERS L P-96	7011	808377	1996
GRIFFIN GAMING & ENTERTAINMENT INC-96	7990	83394	1996
BDM INTERNATIONAL INC /DE-96	7373	870763	1996
HBO & CO-96	7373	310377	1996
HERTZ CORP-96	7510	47129	1996
HERITAGE MEDIA CORP-96	7310	821020	1996
GROWTH HOTEL INVESTORS II-96	7011	791346	1996
TOTAL SYSTEM SERVICES INC-96	7374	721683	1996
GTS DURATEK INC-96	7363	785186	1996
LIVE ENTERTAINMENT INC-96	7822	840260	1996
SHOWBOAT INC-96	7990	89966	1996
AZTAR CORP-96	7990	852807	1996
HILTON HOTELS CORP-96	7011	47580	1996
PLM EQUIPMENT GROWTH FUND II-96	7359	812072	1996
PLM EQUIPMENT GROWTH FUND-96	7359	788813	1996
COMPUTER LANGUAGE RESEARCH INC-96	7374	716903	1996
RIO HOTEL & CASINO INC-96	7990	734380	1996
HALF ROBERT INTERNATIONAL INC /DE/-96	7361	315213	1996
TECHNOLOGY FUNDING PARTNERS III L P-96	7372	808066	1996
INFORMATION RESOURCES INC-96	7370	714278	1996
CONTROL DATA SYSTEMS INC-96	7373	887309	1996
ACKERLEY COMMUNICATIONS INC-96	7310	319120	1996
PLM EQUIPMENT GROWTH FUND III-96	7359	824210	1996
TRUMPS CASTLE FUNDING INC-96	7990	770618	1996
OMNICOM GROUP INC-96	7311	29989	1996
FIDELITY LEASING INCOME FUND V LP-96	7377	830660	1996
OMNICOM GROUP INC-96	7311	29989	1996
FIDELITY LEASING INCOME FUND II-96	7377	764761	1996
COMPUTER TASK GROUP INC-96	7371	23111	1996
TAJ MAHAL HOLDING CORP-96	7011	871012	1996
DESKTOP DATA INC-96	7374	858912	1996
FIDELITY LEASING INCOME FUND IV L P-96	7377	810363	1996
MENTOR GRAPHICS CORP-96	7373	701811	1996
TRUMP TAJ MAHAL FUNDING INC-96	7990	835544	1996
FIDELITY LEASING INCOME FUND III LP-96	7377	786470	1996
KELLY SERVICES INC-96	7363	55135	1996
STRUCTURAL DYNAMICS RESEARCH CORP /OH/-96	7373	820235	1996
WESTERN TRANSMEDIA CO INC-96	7389	315411	1996
TRUMP HOTELS & CASINO RESORTS INC-96	7011	943320	1996
TRUMP PLAZA ASSOCIATES-96	7990	791446	1996
TRUMP HOTELS & CASINO RESORTS FUNDING INC-96	7011	943323	1996
PLM TRANSPORTATION EQUIPMENT PARTNERS IXD 1986 INCOME FUND-96	7359	778794	1996
FIDELITY LEASING INCOME FUND VIII LP-96	7377	870742	1996
CADENCE DESIGN SYSTEMS INC-96	7372	813672	1996
SUPER 8 MOTELS III LTD-96	7011	317859	1996
ATEL CASH DISTRIBUTION FUND-96	7359	785857	1996
WESTWOOD ONE INC /DE/-96	7900	771950	1996
SUPER 8 MOTELS LTD-96	7011	311174	1996
CINEMA PLUS LP-96	7812	822368	1996
PHOENIX LEASING INCOME FUND 1981-96	7370	353543	1996
FAMOUS HOST LODGING V LP-96	7011	737876	1996
PHOENIX LEASING GROWTH FUND 1982-96	7370	356225	1996
DELPHI FILM ASSOCIATES IV-96	7812	764636	1996
ML DELPHI PREMIER PARTNERS LP-96	7812	795252	1996
DELPHI FILM ASSOCIATES III-96	7812	732288	1996
PLM TRANSPORTATION EQUIPMENT PARTNERS IXC 1986 INCOME FUND-96	7359	778793	1996
PLM TRANSPORTATION EQUIPMENT PARTNERS VIIB 1985 INCOME FUND-96	7359	754712	1996
PHOENIX LEASING INCOME FUND 1977-96	7370	216860	1996
ATEL CASH DISTRIBUTION FUND II-96	7359	823065	1996
PLM TRANSPORTATION EQUIPMENT PARTNERS IXB 1986 INCOME FUND-96	7359	778792	1996
CIMETRIX INC-96	7372	786620	1996
PLM INTERNATIONAL INC-96	7359	814677	1996
KAHLER REALTY CORP-96	7011	928697	1996
PLM TRANSPORTATION EQUIPMENT PARTNERS IXA 1986 INCOME FUND-96	7359	778791	1996
SAFETY KLEEN CORP-96	7389	86135	1996
PLM TRANSPORTATION EQUIPMENT PARTNERS VIIC 1985 INCOME FUND-96	7359	754714	1996
PHOENIX LEASING CAPITAL ASSURANCE FUND-96	7359	773821	1996
FIDELITY LEASING INCOME FUND VII L P-96	7377	858661	1996
DELPHI FILM ASSOCIATES V-96	7812	771978	1996
MOTO PHOTO INC-96	7384	704508	1996
ROTO ROOTER INC-96	7600	755548	1996
PHOENIX LEASING INCOME FUND VII-96	7370	732676	1996
PHOENIX LEASING INCOME FUND VI-96	7370	709995	1996
BARRETT BUSINESS SERVICES INC-96	7363	902791	1996
JETSTREAM II L P-96	7359	831331	1996
SILVER SCREEN PARTNERS L P-96	7812	715082	1996
CEDAR FAIR L P-96	7990	811532	1996
JETSTREAM LP-96	7359	825336	1996
PHOENIX LEASING CASH DISTRIBUTION FUND II-96	7377	798905	1996
INTER CONTINENTAL SERVICES CORP-96	7389	310585	1996
PHOENIX LEASING CASH DISTRIBUTION FUND III-96	7359	822690	1996
PREFERRED PROPERTIES FUND 80-96	7011	312903	1996
MCGRATH RENTCORP-96	7359	752714	1996
NATIONAL TECHTEAM INC /DE/-96	7373	805054	1996
DOCUCON INCORPORATED-96	7370	843006	1996
COMPUTER HORIZONS CORP-96	7371	23019	1996
POLARIS AIRCRAFT INCOME FUND III-96	7359	806031	1996
SILVER SCREEN PARTNERS III LP-96	7812	799101	1996
AMERICAN ENTERTAINMENT PARTNERS II L P-96	7812	808378	1996
SERVICE CORPORATION INTERNATIONAL-96	7200	89089	1996
DYNAMIC HEALTHCARE TECHNOLOGIES INC-96	7373	720481	1996
INFORMIX CORP-96	7372	799089	1996
MANHATTAN BEACH HOTEL PARTNERS LP-96	7011	822026	1996
PRATT HOTEL CORP /DE/-96	7990	30117	1996
POLARIS AIRCRAFT INCOME FUND II-96	7359	789895	1996
POLARIS AIRCRAFT INCOME FUND I-96	7359	748218	1996
SUNGARD DATA SYSTEMS INC-96	7374	789388	1996
PSH MASTER L P I-96	7011	813897	1996
UNION PLAZA HOTEL & CASINO INC-96	7990	87918	1996
SHARED MEDICAL SYSTEMS CORP-96	7374	89415	1996
