CONFORMED-NAME	SIC	CIK	YEAR
Hydrogen Future Corp-14	100	1381054	2014
LICONT, CORP.-14	7389	1531618	2014
PHOTRONICS INC-14	3674	810136	2014
Vanguard Energy Corp-14	1381	1497649	2014
FONU2 Inc.-14	5399	1168325	2014
CleanTech Innovations, Inc.-14	3490	1382219	2014
BASTA HOLDINGS, CORP.-14	5070	1562201	2014
SEEN ON SCREEN TV INC.-14	1000	879519	2014
Bio-Matrix Scientific Group, Inc.-14	7389	1079282	2014
CASTLE HOLDING CORP-14	6199	802510	2014
NEAH POWER SYSTEMS, INC.-14	3690	1162816	2014
RIDGEWOOD POWER GROWTH FUND /NJ-14	4931	1057076	2014
RIDGEWOOD ELECTRIC POWER TRUST V-14	4911	1060755	2014
PAN GLOBAL, CORP.-14	7380	1492617	2014
4NET SOFTWARE INC-14	7370	812149	2014
LIVEDEAL INC-14	7371	1045742	2014
HURCO COMPANIES INC-14	3823	315374	2014
GENERAL EMPLOYMENT ENTERPRISES INC-14	7361	40570	2014
Arax Holdings Corp-14	5812	1566243	2014
BLUE SPHERE CORP.-14	7370	1419582	2014
FIRST ASIA HOLDINGS Ltd-14	6153	1081568	2014
Naprodis, Inc.-14	2834	1313938	2014
CALAVO GROWERS INC-14	700	1133470	2014
VISUALANT INC-14	3829	1074828	2014
Bulova Technologies Group, Inc.-14	7372	317889	2014
AIRWARE LABS CORP.-14	3843	1500123	2014
UV FLU TECHNOLOGIES INC-14	5940	1385310	2014
Bill The Butcher, Inc.-14	5400	1375554	2014
mLight Tech, Inc.-14	8200	1502557	2014
SILVER BULL RESOURCES, INC.-14	1000	1031093	2014
LIBERATED ENERGY, INC.-14	2030	1503161	2014
AvWorks Aviation Corp-14	2731	1315718	2014
CURRENCYSHARES EURO TRUST-14	6221	1328598	2014
Limoneira CO-14	100	1342423	2014
CURRENCYSHARES CANADIAN DOLLAR TRUST-14	6221	1353612	2014
NYBD Holding, Inc.-14	7389	1424657	2014
Paradigm Resource Management Corp-14	4813	1405660	2014
AMERICAN CRYOSTEM Corp-14	8090	1468679	2014
Milwaukee Iron Arena Football, Inc-14	7990	1083383	2014
BULK STORAGE SOFTWARE, INC.-14	3572	1453883	2014
First Power & Light, Inc.-14	7812	1454725	2014
DEEP WELL OIL & GAS INC-14	1311	869495	2014
NuZee, Inc.-14	5900	1527613	2014
JANEL WORLD TRADE LTD-14	7389	1133062	2014
Computer Graphics International Inc.-14	7812	1242513	2014
RealSource Residential, Inc-14	2835	1174891	2014
China Integrated Energy, Inc.-14	2911	1070045	2014
Wellness Center USA, Inc.-14	2834	1516887	2014
META GOLD, INC.-14	3021	1508786	2014
CURRENCYSHARES CHINESE RENMINBI TRUST-14	6221	1519405	2014
ISA INTERNATIONALE INC-14	5961	1095133	2014
CURRENCYSHARES JAPANESE YEN TRUST-14	6221	1353613	2014
Cleartronic, Inc.-14	4812	1362516	2014
CurrencyShares South African Rand Trust-14	6221	1433997	2014
AMERICAN LASER HEALTHCARE Corp-14	6770	1534099	2014
CurrencyShares Singapore Dollar Trust-14	6221	1433994	2014
ICEWEB INC-14	3572	1097718	2014
CURRENCYSHARES SWISS FRANC TRUST-14	6221	1353615	2014
NATIONAL SCIENTIFIC CORP/AZ-14	3674	1022505	2014
CURRENCYSHARES BRITISH POUND STERLING TRUST-14	6221	1353611	2014
ACTIVECARE, INC.-14	3669	1429896	2014
CURRENCYSHARES SWEDISH KRONA TRUST-14	6221	1353616	2014
SecureAlert, Inc.-14	3669	1045942	2014
First Titan Corp.-14	3823	1502152	2014
CHINA BAK BATTERY INC-14	3690	1117171	2014
FORWARD INDUSTRIES INC-14	3089	38264	2014
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY-14	6798	36840	2014
URSTADT BIDDLE PROPERTIES INC-14	6798	1029800	2014
OLIE INC-14	7389	1533311	2014
Independent Film Development CORP-14	6799	1425883	2014
CASPIAN SERVICES INC-14	4400	1093430	2014
Aim Exploration Inc.-14	1090	1545232	2014
TRIMEDYNE INC-14	3845	357001	2014
MARKETINGMOBILETEXT, INC.-14	7374	1537511	2014
Gamzio Mobile, Inc.-14	1040	1391798	2014
AEP INDUSTRIES INC-14	3081	785787	2014
XSUNX INC-14	3081	1039466	2014
SuperDirectories Inc.-14	7389	1338624	2014
Genufood Energy Enzymes Corp.-14	2833	1510518	2014
INVISA INC-14	3823	1172706	2014
COPYTELE INC-14	3577	715446	2014
CEMTREX INC-14	3829	1435064	2014
R F INDUSTRIES LTD-14	3678	740664	2014
Centurytouch Ltd-14	6770	1491830	2014
BRIDGFORD FOODS CORP-14	2013	14177	2014
Centurytouch Ltd-14	6770	1491830	2014
CYTTA CORP.-14	7389	1383088	2014
XTREME GREEN PRODUCTS INC.-14	3711	1392477	2014
SCIVANTA MEDICAL CORP-14	3841	1093285	2014
CARDIFF INTERNATIONAL INC-14	7372	811222	2014
Fuse Science, Inc.-14	2835	842722	2014
ChatChing Inc.-14	7374	1524083	2014
BLUEGATE CORP-14	7389	768216	2014
Citadel EFT, Inc.-14	7389	1473971	2014
CROSSROADS SYSTEMS INC-14	3577	1093207	2014
OnTarget360 Group, Inc.-14	8742	1506385	2014
Translation Group Inc.-14	7389	1564863	2014
BASSETT FURNITURE INDUSTRIES INC-14	2511	10329	2014
MULTI-CORP INTERNATIONAL INC.-14	1000	1405260	2014
LEXARIA CORP.-14	1000	1348362	2014
FULLER H B CO-14	2891	39368	2014
American Nano Silicon Technologies, Inc.-14	2821	1415917	2014
COFFEE HOLDING CO INC-14	2080	1007019	2014
CH REAL ESTATE II, INC-14	6500	1541719	2014
BISON INSTRUMENTS INC-14	9995	1093683	2014
Dutch Oven Gold Group Inc.-14	6770	1411168	2014
Viking Minerals Inc.-14	1000	1376316	2014
OPT SCIENCES CORP-14	3827	74688	2014
5V Inc.-14	6770	1504876	2014
Rampart Studios Inc.-14	6770	1432271	2014
LOAD GUARD LOGISTICS, INC.-14	4213	1516551	2014
Jefferies Group LLC-14	6211	1084580	2014
ROYALE GLOBE HOLDING INC.-14	1000	1383145	2014
COLD CAM, INC.-14	3670	1566561	2014
MGC DIAGNOSTICS Corp-14	3841	815093	2014
B-Scada, Inc.-14	7372	1341878	2014
Jayhawk Energy, Inc.-14	1311	1308710	2014
NOBILITY HOMES INC-14	2451	72205	2014
Crystal Rock Holdings, Inc.-14	5140	1123316	2014
UNITIL CORP-14	4931	755001	2014
CARNIVAL PLC-14	4400	1125259	2014
CERULEAN GROUP, INC.-14	7370	1561551	2014
Pharma-Bio Serv, Inc.-14	8742	1304161	2014
Gold Hill Resources, Inc.-14	5082	1462013	2014
Advaxis, Inc.-14	2834	1100397	2014
CHAMPION INDUSTRIES INC-14	2750	19149	2014
Sport Stix Inc.-14	2833	1561196	2014
BRINX RESOURCES LTD-14	1311	1212641	2014
RBC Covered Bond Guarantor Limited Partnership-14	6189	1550369	2014
Black River Petroleum Corp.-14	5912	1479000	2014
BLUE RIDGE REAL ESTATE CO-14	6500	12779	2014
22nd Century Group, Inc.-14	2111	1347858	2014
NovaCopper Inc.-14	1040	1543418	2014
VOLT INFORMATION SCIENCES, INC.-14	7363	103872	2014
SCHLUMBERGER LTD /NV/-14	1389	87347	2014
TORCH ENERGY ROYALTY TRUST-14	6792	912030	2014
TORCH ENERGY ROYALTY TRUST-14	6792	912030	2014
DARA BioSciences, Inc.-14	2834	919745	2014
UNIVERSAL DETECTION TECHNOLOGY-14	3823	763950	2014
Renewable Fuel Corp-14	2860	1455768	2014
VASCULAR SOLUTIONS INC-14	3841	1030206	2014
PARAGON REAL ESTATE EQUITY & INVESTMENT TRUST-14	6798	928953	2014
ALPINE 1 Inc.-14	6770	1580443	2014
ASSOCIATED BANC-CORP-14	6022	7789	2014
PAIN THERAPEUTICS INC-14	2834	1069530	2014
NATIONAL SCIENTIFIC CORP/AZ-14	3674	1022505	2014
CHIPOTLE MEXICAN GRILL INC-14	5812	1058090	2014
MDC HOLDINGS INC-14	1531	773141	2014
VR Holdings, Inc.-14	8111	1492052	2014
HOME LOAN SERVICING SOLUTIONS, LTD.-14	6162	1513161	2014
Trail One, Inc.-14	3714	1506251	2014
MANHATTAN ASSOCIATES INC-14	7372	1056696	2014
AGL RESOURCES INC-14	4924	1004155	2014
US-TH ENERGY SCIENCE & TECHNOLOGY INT'L, INC.-14	3559	1546958	2014
Ultimate Rack, Inc.-14	3949	1540237	2014
ALPINE 2 Inc.-14	6770	1580485	2014
GALLAGHER ARTHUR J & CO-14	6411	354190	2014
Expedia, Inc.-14	4700	1324424	2014
IRONWOOD PHARMACEUTICALS INC-14	2834	1446847	2014
UNION PACIFIC CORP-14	4011	100885	2014
ALPINE 3 Inc.-14	6770	1580490	2014
RIDGEWOOD ELECTRIC POWER TRUST III-14	4911	917032	2014
MobileBits Holdings Corp-14	7372	1448780	2014
Green Plains Renewable Energy, Inc.-14	2860	1309402	2014
HAWAIIAN HOLDINGS INC-14	4512	1172222	2014
CORNING INC /NY-14	3357	24741	2014
AMAG PHARMACEUTICALS INC.-14	2834	792977	2014
MONSTER WORLDWIDE, INC.-14	7363	1020416	2014
Arlington Asset Investment Corp.-14	6799	1209028	2014
1st United Bancorp, Inc.-14	6022	1415277	2014
PACIFIC GAS & ELECTRIC Co-14	4931	75488	2014
LEAR CORP-14	3714	842162	2014
HUNTSMAN INTERNATIONAL LLC-14	2800	1089748	2014
DEL TORO SILVER CORP.-14	1000	1382462	2014
HCP, INC.-14	6798	765880	2014
OMEGA HEALTHCARE INVESTORS INC-14	6798	888491	2014
TripAdvisor, Inc.-14	7370	1526520	2014
CAMBREX CORP-14	2834	820081	2014
STANLEY FURNITURE CO INC.-14	2511	797465	2014
REYNOLDS AMERICAN INC-14	2111	1275283	2014
HENRY SCHEIN INC-14	5047	1000228	2014
BALIUS CORP.-14	700	1562738	2014
MICROSTRATEGY INC-14	7372	1050446	2014
ALLIANCEBERNSTEIN L.P.-14	6282	1109448	2014
GREENWIND NRG INC-14	3612	1537274	2014
NBCUniversal Media, LLC-14	4841	902739	2014
Owens Corning-14	3290	1370946	2014
API Technologies Corp.-14	3674	1081078	2014
VITRO DIAGNOSTICS INC-14	2836	793171	2014
MEDNAX, INC.-14	8060	893949	2014
American Liberty Petroleum Corp.-14	7350	1451929	2014
IGATE CORP-14	7371	1024732	2014
ALLIANCEBERNSTEIN HOLDING L.P.-14	6282	825313	2014
MASCOTA RESOURCES CORP.-14	1000	1536089	2014
Aurum, Inc.-14	7372	1450708	2014
CDEX INC-14	3829	1173738	2014
BIOLIFE SOLUTIONS INC-14	3845	834365	2014
NOVAGOLD RESOURCES INC-14	1040	1173420	2014
PRINCIPAL FINANCIAL GROUP INC-14	6321	1126328	2014
ROYAL BEES COMPANY, INC.-14	700	1540334	2014
SafeBrain Systems, Inc.-14	9995	1271073	2014
AFH ACQUISITION VII, INC.-14	6770	1420035	2014
AFH ACQUISITION XII, INC.-14	6770	1419552	2014
Trans-Pacific Aerospace Company, Inc.-14	1311	1422295	2014
MICROPAC INDUSTRIES INC-14	3674	65759	2014
MICRO IMAGING TECHNOLOGY, INC.-14	6794	808015	2014
BioNeutral Group, Inc-14	2810	1427030	2014
PUGET TECHNOLOGIES, INC.-14	2200	1540615	2014
Diversified Resources Inc.-14	1040	1509692	2014
3DX Industries, Inc.-14	7200	1453122	2014
Advanced Biomedical Technologies Inc.-14	3842	1385799	2014
WESTMOUNTAIN GOLD, INC.-14	6799	1421601	2014
OWENS ILLINOIS INC /DE/-14	3221	812074	2014
Global Tech Solutions, Inc.-14	7372	1568427	2014
ALCOA INC-14	3350	4281	2014
INNOSPEC INC.-14	2800	1054905	2014
Quintiles Transnational Holdings Inc.-14	8731	1478242	2014
COGNEX CORP-14	3823	851205	2014
ESSENTIAL INNOVATIONS TECHNOLOGY CORP-14	3590	1250897	2014
INTERACTIVE MULTI MEDIA AUCTION Corp-14	7389	1565430	2014
DINO ENERGY Corp-14	2430	1534263	2014
AFH Acquisition IX, Inc.-14	6770	1419556	2014
REALBIZ MEDIA GROUP, INC-14	6531	1430523	2014
AFH ACQUISITION VI, INC.-14	6770	1420034	2014
Texas South Energy, Inc.-14	7900	1506742	2014
AFH Acquisition VIII, Inc.-14	6770	1419560	2014
AFH ACQUISITION V, INC.-14	6770	1420033	2014
KELLY SERVICES INC-14	7363	55135	2014
LVFAR Green Technology Corp.-14	6770	1506481	2014
ATLAS AIR WORLDWIDE HOLDINGS INC-14	4522	1135185	2014
PLATINUM UNDERWRITERS HOLDINGS LTD-14	6331	1171500	2014
TRAVELERS COMPANIES, INC.-14	6331	86312	2014
Dussault Apparel Inc.-14	5600	1383756	2014
ENDEAVOR IP, INC.-14	7389	1511261	2014
JOE'S JEANS INC.-14	2300	844143	2014
GRIFFIN LAND & NURSERIES INC-14	6500	1037390	2014
WORLD FUEL SERVICES CORP-14	5172	789460	2014
Greektown Superholdings, Inc.-14	7011	1487685	2014
SNAP-ON Inc-14	3420	91440	2014
CINJET INC-14	7380	1398137	2014
Monarchy Resources, Inc.-14	1000	1514324	2014
HALF ROBERT INTERNATIONAL INC /DE/-14	7363	315213	2014
SKYWEST INC-14	4512	793733	2014
CREDIT ACCEPTANCE CORP-14	6141	885550	2014
EXELON GENERATION CO LLC-14	4911	1168165	2014
ARBOR REALTY TRUST INC-14	6798	1253986	2014
Tropicana Las Vegas Hotel & Casino, Inc.-14	7011	1479046	2014
Halton Universal Brands Inc.-14	8742	1568693	2014
MASCO CORP /DE/-14	2430	62996	2014
NATIONAL OILWELL VARCO INC-14	3533	1021860	2014
BLACKSANDS PETROLEUM, INC.-14	1311	1308137	2014
VIASYSTEMS GROUP INC-14	3672	1101169	2014
BEASLEY BROADCAST GROUP INC-14	4832	1099160	2014
LIFEPOINT HOSPITALS, INC.-14	8062	1301611	2014
Emoneco, Inc.-14	1000	1482278	2014
Ampio Pharmaceuticals, Inc.-14	2834	1411906	2014
NORFOLK SOUTHERN CORP-14	4011	702165	2014
Targa Resources Corp.-14	4922	1389170	2014
HUNTINGTON BANCSHARES INC/MD-14	6021	49196	2014
HONEYWELL INTERNATIONAL INC-14	3714	773840	2014
Bluerock Residential Growth REIT, Inc.-14	6798	1442626	2014
Staffing Group, Ltd.-14	7200	1561622	2014
Targa Resources Partners LP-14	4922	1379661	2014
CoreSite Realty Corp-14	6798	1490892	2014
COBIZ FINANCIAL INC-14	6021	1028734	2014
TRW AUTOMOTIVE HOLDINGS CORP-14	3714	1267097	2014
NAVIGATORS GROUP INC-14	6331	793547	2014
LOCKHEED MARTIN CORP-14	3760	936468	2014
Kama Resources Inc.-14	6770	1479239	2014
PATTERSON UTI ENERGY INC-14	1381	889900	2014
VICAL INC-14	2836	819050	2014
MySkin, Inc.-14	8000	1436161	2014
HUBBELL INC-14	3670	48898	2014
Sino-American Net Media Corp-14	6770	1433564	2014
Logan Sound, Inc.-14	3931	1471717	2014
AWARE INC /MA/-14	3674	1015739	2014
Midcoast Energy Partners, L.P.-14	4923	1578685	2014
NANOSPHERE INC-14	3841	1105184	2014
Macquarie Equipment Leasing Fund, LLC-14	7359	1446714	2014
HERBALIFE LTD.-14	5122	1180262	2014
DALECO RESOURCES CORP-14	1311	746967	2014
HOMEFED CORP-14	6500	833795	2014
WASTE MANAGEMENT INC-14	4953	823768	2014
APEX 9 INC.-14	6770	1578327	2014
THORATEC CORP-14	3845	350907	2014
JONES GROUP INC-14	2330	874016	2014
ADVANCED MICRO DEVICES INC-14	3674	2488	2014
INTERSIL CORP/DE-14	3674	1096325	2014
NPS PHARMACEUTICALS INC-14	2836	890465	2014
TIME WARNER CABLE INC.-14	4841	1377013	2014
BESPOKE TRICYCLES INC-14	3790	1557376	2014
FLUOR CORP-14	1600	1124198	2014
IDEXX LABORATORIES INC /DE-14	2835	874716	2014
NCI, Inc.-14	7373	1334478	2014
BEAM INC-14	2080	789073	2014
GRACO INC-14	3561	42888	2014
GLADSTONE COMMERCIAL CORP-14	6519	1234006	2014
Northam Acquisition Corp.-14	6770	1502628	2014
Dardanos Acquisition Corp.-14	6770	1502630	2014
ENBRIDGE ENERGY PARTNERS LP-14	4610	880285	2014
ENBRIDGE ENERGY MANAGEMENT L L C-14	1311	1173911	2014
MOVE INC-14	6531	1085770	2014
HUMANA INC-14	6324	49071	2014
Spirit AeroSystems Holdings, Inc.-14	3728	1364885	2014
HECLA MINING CO/DE/-14	1400	719413	2014
GARMIN LTD-14	3812	1121788	2014
UNITED STATIONERS INC-14	5110	355999	2014
SLM CORP-14	6141	1032033	2014
AOL Inc.-14	7374	1468516	2014
Lollipop Corp-14	2090	1565383	2014
Macquarie Infrastructure Co LLC-14	5172	1289790	2014
LIFELOCK, INC.-14	7374	1383871	2014
Industrial Income Trust Inc.-14	6500	1464720	2014
TYLER TECHNOLOGIES INC-14	7372	860731	2014
Olivia Inc.-14	2050	1568139	2014
BARD C R INC /NJ/-14	3841	9892	2014
Onstream Media CORP-14	7373	919130	2014
Lumber Liquidators Holdings, Inc.-14	5211	1396033	2014
Terreno Realty Corp-14	6500	1476150	2014
Orgenesis Inc.-14	2834	1460602	2014
VISHAY INTERTECHNOLOGY INC-14	3670	103730	2014
Government Properties Income Trust-14	6500	1456772	2014
CARLISLE COMPANIES INC-14	3060	790051	2014
INTEVAC INC-14	3559	1001902	2014
NVR INC-14	1531	906163	2014
ZEBRA TECHNOLOGIES CORP-14	3560	877212	2014
SPS COMMERCE INC-14	7372	1092699	2014
MACATAWA BANK CORP-14	6022	1053584	2014
ATLAS PIPELINE PARTNERS LP-14	4922	1092914	2014
INTERNAP NETWORK SERVICES CORP-14	7370	1056386	2014
Sputnik Enterprises, Inc-14	3576	1326917	2014
CommScope Holding Company, Inc.-14	3663	1517228	2014
AMERICAN INTERNATIONAL GROUP INC-14	6331	5272	2014
FISERV INC-14	7374	798354	2014
WEST CORP-14	7389	1024657	2014
SMITH A O CORP-14	3630	91142	2014
ELECTRONICS FOR IMAGING INC-14	3576	867374	2014
HUTTIG BUILDING PRODUCTS INC-14	5030	1093082	2014
ALNYLAM PHARMACEUTICALS, INC.-14	2834	1178670	2014
MEDGENICS, INC.-14	2836	1138776	2014
UNITED AIRLINES, INC.-14	4512	319687	2014
GNC HOLDINGS, INC.-14	5400	1502034	2014
Altisource Residential Corp-14	6500	1555039	2014
GREAT NORTHERN IRON ORE PROPERTIES-14	6795	43410	2014
ALLSTATE CORP-14	6331	899051	2014
CITIZENS & NORTHERN CORP-14	6022	810958	2014
UIL HOLDINGS CORP-14	4911	1082510	2014
TreeHouse Foods, Inc.-14	2030	1320695	2014
SYKES ENTERPRISES INC-14	7373	1010612	2014
Aviv Healthcare Properties L.P.-14	6798	1519120	2014
DORCHESTER MINERALS, L.P.-14	1311	1172358	2014
LyondellBasell Industries N.V.-14	2860	1489393	2014
GIBRALTAR INDUSTRIES, INC.-14	3310	912562	2014
AUTOBYTEL INC-14	7370	1023364	2014
Altisource Asset Management Corp-14	6500	1555074	2014
IMAX CORP-14	3861	921582	2014
NATIONAL INSTRUMENTS CORP /DE/-14	7372	935494	2014
LTC PROPERTIES INC-14	6798	887905	2014
Grand Canyon Education, Inc.-14	8200	1434588	2014
Acadia Healthcare Company, Inc.-14	8093	1520697	2014
DCT Industrial Trust Inc.-14	6798	1170991	2014
CONSOLIDATED EDISON CO OF NEW YORK INC-14	4931	23632	2014
Dealertrack Technologies, Inc-14	7373	1333513	2014
MERCER INTERNATIONAL INC.-14	2611	1333274	2014
NEWMONT MINING CORP /DE/-14	1040	1164727	2014
LORILLARD, INC.-14	2111	1424847	2014
CONTROL4 CORP-14	3670	1259515	2014
Cortronix Biomedical Advancement Technologies Inc.-14	1040	1380713	2014
FIRST FINANCIAL BANKSHARES INC-14	6022	36029	2014
Select Income REIT-14	6798	1537667	2014
USA Synthetic Fuel Corp-14	4924	1487920	2014
