CONFORMED-NAME	SIC	CIK	YEAR
NATIONAL SCIENTIFIC CORP/AZ-15	7374	1022505	2015
LICONT, CORP.-15	7389	1531618	2015
Rebel Group, Inc.-15	7374	1532158	2015
IPOWorld-15	7340	1503538	2015
ADVANCED CREDIT TECHNOLOGIES INC-15	7372	1437517	2015
BLUE SPHERE CORP.-15	7370	1419582	2015
Dephasium Corp.-15	7372	723533	2015
Bulova Technologies Group, Inc.-15	7372	317889	2015
VOLT INFORMATION SCIENCES, INC.-15	7363	103872	2015
PRIME GLOBAL CAPITAL GROUP Inc-15	7370	1462047	2015
ADOBE SYSTEMS INC-15	7372	796343	2015
Peer to Peer Network-15	7373	1421981	2015
B-Scada, Inc.-15	7372	1341878	2015
Greenpro, Inc.-15	7374	1597846	2015
PROGRESS SOFTWARE CORP /MA-15	7372	876167	2015
ENDEAVOR IP, INC.-15	7389	1511261	2015
Facebook Inc-15	7370	1326801	2015
OMEGA BRANDS INC.-15	7389	1564863	2015
RemSleep Holdings Inc.-15	7200	1412126	2015
OUTERWALL INC-15	7200	941604	2015
MANHATTAN ASSOCIATES INC-15	7372	1056696	2015
Inuvo, Inc.-15	7310	829323	2015
IGATE CORP-15	7371	1024732	2015
OMNICOM GROUP INC.-15	7311	29989	2015
MONSTER WORLDWIDE, INC.-15	7363	1020416	2015
CERNER CORP /MO/-15	7373	804753	2015
RVUE HOLDINGS, INC.-15	7310	1455206	2015
LINKEDIN CORP-15	7370	1271024	2015
INTERACTIVE MULTI MEDIA AUCTION Corp-15	7389	1565430	2015
Q2 Holdings, Inc.-15	7372	1410384	2015
American Liberty Petroleum Corp.-15	7350	1451929	2015
RYDER SYSTEM INC-15	7510	85961	2015
MASTERCARD INC-15	7389	1141391	2015
AWARE INC /MA/-15	7372	1015739	2015
MCGRAW HILL FINANCIAL INC-15	7320	64040	2015
VERISIGN INC/CA-15	7371	1014473	2015
IMS Health Holdings, Inc.-15	7374	1595262	2015
Tropicana Las Vegas Hotel & Casino, Inc.-15	7011	1479046	2015
NCI, Inc.-15	7373	1334478	2015
SYDYS CORP-15	7310	1309141	2015
ZILLOW INC-15	7389	1334814	2015
Vibe Ventures Inc.-15	7389	1479320	2015
SYDYS CORP-15	7310	1309141	2015
Digital Brand Media & Marketing Group, Inc.-15	7389	1127475	2015
Zendesk, Inc.-15	7374	1463172	2015
TripAdvisor, Inc.-15	7370	1526520	2015
WORLD WRESTLING ENTERTAINMENTINC-15	7812	1091907	2015
Hilton Worldwide Holdings Inc.-15	7011	1585689	2015
CONVERGYS CORP-15	7373	1062047	2015
SITEL Worldwide Corp-15	7389	1414078	2015
SHUTTERFLY INC-15	7384	1125920	2015
Hyatt Hotels Corp-15	7011	1468174	2015
TYLER TECHNOLOGIES INC-15	7372	860731	2015
Macquarie Equipment Leasing Fund, LLC-15	7359	1446714	2015
Where Food Comes From, Inc.-15	7372	1360565	2015
WEST CORP-15	7389	1024657	2015
BSQUARE CORP /WA-15	7389	1054721	2015
CINJET INC-15	7380	1398137	2015
SYKES ENTERPRISES INC-15	7373	1010612	2015
Internap Corp-15	7370	1056386	2015
MARRIOTT INTERNATIONAL INC /MD/-15	7011	1048286	2015
NATIONAL INSTRUMENTS CORP /DE/-15	7372	935494	2015
Ancestry.com LLC-15	7374	1575319	2015
Clear Channel Outdoor Holdings, Inc.-15	7310	1334978	2015
VARONIS SYSTEMS INC-15	7372	1361113	2015
Priceline Group Inc.-15	7389	1075531	2015
ManpowerGroup Inc.-15	7363	871763	2015
Nielsen N.V.-15	7389	1492633	2015
FISERV INC-15	7374	798354	2015
Western Union CO-15	7389	1365135	2015
SPS COMMERCE INC-15	7372	1092699	2015
CADENCE DESIGN SYSTEMS INC-15	7372	813672	2015
MARIN SOFTWARE INC-15	7374	1389002	2015
Digimarc CORP-15	7373	1438231	2015
SCIQUEST INC-15	7372	1082526	2015
AVIS BUDGET GROUP, INC.-15	7510	723612	2015
CREDIT ONE FINANCIAL INC-15	7310	1201135	2015
SolarWinds, Inc.-15	7372	1428669	2015
UNISYS CORP-15	7373	746838	2015
XEROX CORP-15	7389	108772	2015
ADVENT SOFTWARE INC /DE/-15	7371	1002225	2015
ZYNGA INC-15	7374	1439404	2015
HOMEAWAY INC-15	7374	1366684	2015
STARWOOD HOTEL & RESORTS WORLDWIDE, INC-15	7011	316206	2015
SYNCHRONOSS TECHNOLOGIES INC-15	7371	1131554	2015
Constant Contact, Inc.-15	7331	1405277	2015
AMN HEALTHCARE SERVICES INC-15	7363	1142750	2015
La Quinta Holdings Inc.-15	7011	1594617	2015
Dealertrack Technologies, Inc-15	7373	1333513	2015
HOST HOTELS & RESORTS L.P.-15	7011	1061937	2015
FALCONSTOR SOFTWARE INC-15	7372	922521	2015
CHURCHILL DOWNS INC-15	7948	20212	2015
CARRIAGE SERVICES INC-15	7200	1016281	2015
ROLLINS INC-15	7340	84839	2015
BROADSOFT, INC.-15	7372	1086909	2015
BLACKBAUD INC-15	7372	1280058	2015
DUN & BRADSTREET CORP/NW-15	7320	1115222	2015
ACI WORLDWIDE, INC.-15	7372	935036	2015
PEGASYSTEMS INC-15	7374	1013857	2015
MICROSTRATEGY INC-15	7372	1050446	2015
WAGEWORKS, INC.-15	7389	1158863	2015
MCGRATH RENTCORP-15	7359	752714	2015
MAXIMA GROUP INC.-15	7200	1596448	2015
VMWARE, INC.-15	7372	1124610	2015
MOODYS CORP /DE/-15	7320	1059556	2015
AUTOBYTEL INC-15	7370	1023364	2015
2U, Inc.-15	7372	1459417	2015
CHANNELADVISOR CORP-15	7372	1169652	2015
TOTAL SYSTEM SERVICES INC-15	7389	721683	2015
Activision Blizzard, Inc.-15	7372	718877	2015
CEDAR FAIR L P-15	7990	811532	2015
INFORMATICA CORP-15	7372	1080099	2015
AIR LEASE CORP-15	7359	1487712	2015
ANSYS INC-15	7372	1013462	2015
Paycom Software, Inc.-15	7372	1590955	2015
BLUCORA, INC.-15	7374	1068875	2015
3D SYSTEMS CORP-15	7372	910638	2015
PROOFPOINT INC-15	7374	1212458	2015
Diamond Resorts International, Inc.-15	7011	1566897	2015
ESH Hospitality, Inc.-15	7011	1507563	2015
SYNTEL INC-15	7371	1040426	2015
COGNIZANT TECHNOLOGY SOLUTIONS CORP-15	7371	1058290	2015
Interactive Intelligence Group, Inc.-15	7372	1517650	2015
Jive Software, Inc.-15	7374	1462633	2015
PROS Holdings, Inc.-15	7371	1392972	2015
QLIK TECHNOLOGIES INC-15	7372	1305294	2015
ServiceNow, Inc.-15	7372	1373715	2015
RingCentral Inc-15	7374	1384905	2015
National CineMedia, Inc.-15	7310	1377630	2015
Monotype Imaging Holdings Inc.-15	7371	1385292	2015
HEALTHSTREAM INC-15	7370	1095565	2015
SMITH MICRO SOFTWARE INC-15	7372	948708	2015
WYNN LAS VEGAS LLC-15	7011	1180638	2015
MOBILEIRON, INC.-15	7372	1470099	2015
Cinemark Holdings, Inc.-15	7830	1385280	2015
Endurance International Group Holdings, Inc.-15	7372	1237746	2015
AOL Inc.-15	7374	1468516	2015
MSCI Inc.-15	7389	1408198	2015
Benefitfocus,Inc.-15	7372	1576169	2015
WebMD Health Corp.-15	7389	1326583	2015
MERGE HEALTHCARE INC-15	7373	944765	2015
SeaWorld Entertainment, Inc.-15	7990	1564902	2015
WEB.COM GROUP, INC.-15	7372	1095291	2015
Tableau Software Inc-15	7372	1303652	2015
YELP INC-15	7200	1345016	2015
PENN NATIONAL GAMING INC-15	7011	921738	2015
FIRST DATA CORP-15	7374	883980	2015
COGENT COMMUNICATIONS HOLDINGS, INC.-15	7372	1158324	2015
MERCADOLIBRE INC-15	7389	1099590	2015
YAHOO INC-15	7373	1011006	2015
Red Lion Hotels CORP-15	7011	1052595	2015
Shutterstock, Inc.-15	7374	1549346	2015
ALLIANCE DATA SYSTEMS CORP-15	7389	1101215	2015
CSG SYSTEMS INTERNATIONAL INC-15	7374	1005757	2015
ULTIMATE SOFTWARE GROUP INC-15	7372	1016125	2015
CAI International, Inc.-15	7359	1388430	2015
Fleetmatics Group plc-15	7372	1526160	2015
ISMO Tech Solutions, Inc.-15	7371	1596062	2015
TRULIA, INC.-15	7374	1349454	2015
STEINER LEISURE Ltd-15	7200	1018946	2015
SOHU COM INC-15	7374	1104188	2015
Demandware Inc-15	7371	1301031	2015
TWITTER, INC.-15	7370	1418091	2015
MDC PARTNERS INC-15	7311	876883	2015
ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.-15	7373	1124804	2015
HEARTLAND PAYMENT SYSTEMS INC-15	7389	1144354	2015
ENVESTNET, INC.-15	7389	1337619	2015
ON ASSIGNMENT INC-15	7363	890564	2015
EDGEWATER TECHNOLOGY INC/DE/-15	7370	1017968	2015
REALPAGE INC-15	7372	1286225	2015
SERVICEMASTER CO, LLC-15	7340	1052045	2015
FLEETCOR TECHNOLOGIES INC-15	7389	1175454	2015
U.S. RARE EARTHS, INC-15	7310	1098881	2015
HMS HOLDINGS CORP-15	7389	1196501	2015
SOTHEBYS-15	7389	823094	2015
Altisource Portfolio Solutions S.A.-15	7380	1462418	2015
EVERTEC, Inc.-15	7374	1559865	2015
CARMIKE CINEMAS INC-15	7830	799088	2015
MEDASSETS INC-15	7372	1254419	2015
UNITED ONLINE INC-15	7370	1142701	2015
