CONFORMED-NAME	TICKER	SIC	CIK	YEAR
4NET SOFTWARE INC-16	FNSI	7370	812149	2016
Media Analytics Corp-16	FSPT	7372	1518171	2016
Ominto, Inc.-16	MEDG	7389	1097792	2016
BLUE SPHERE CORP.-16	BLSP	7370	1419582	2016
Avant Diagnostics, Inc-16	Unknown	7350	1451929	2016
LIVE VENTURES Inc-16	LIVE	7371	1045742	2016
AcroBoo, Inc.-16	ACRO	7389	1497251	2016
VOLT INFORMATION SCIENCES, INC.-16	VISI	7363	103872	2016
SharkReach, Inc.-16	Unknown	7380	1561782	2016
ADOBE SYSTEMS INC-16	ADBE	7372	796343	2016
Interups Inc-16	Unknown	7374	1554947	2016
SmooFi, Inc.-16	Unknown	7310	1592603	2016
CIPHERLOC Corp-16	NSCT	7374	1022505	2016
Facebook Inc-16	FB	7370	1326801	2016
B-Scada, Inc.-16	Unknown	7372	1341878	2016
ENDEAVOR IP, INC.-16	ENIP	7389	1511261	2016
PRIME GLOBAL CAPITAL GROUP Inc-16	PGCG	7370	1462047	2016
PROGRESS SOFTWARE CORP /MA-16	PRGS	7372	876167	2016
Medical Information Technology, Inc.-16	Unknown	7372	1011452	2016
SIGNAL BAY, INC.-16	Unknown	7600	715788	2016
OUTERWALL INC-16	OUTR	7200	941604	2016
MANHATTAN ASSOCIATES INC-16	MANH	7372	1056696	2016
OMNICOM GROUP INC.-16	OMC	7311	29989	2016
VGRAB COMMUNICATIONS INC.-16	VAZGF	7372	1551887	2016
INTERACTIVE MULTI MEDIA AUCTION Corp-16	Unknown	7389	1565430	2016
JAREX SOLUTIONS CORP.-16	Unknown	7372	1627452	2016
MONSTER WORLDWIDE, INC.-16	MWW	7363	1020416	2016
Limelight Networks, Inc.-16	LLNW	7389	1391127	2016
BSQUARE CORP /WA-16	BSQR	7389	1054721	2016
MCGRAW HILL FINANCIAL INC-16	MHP	7320	64040	2016
ZILLOW GROUP, INC.-16	Z	7389	1617640	2016
Q2 Holdings, Inc.-16	QTWO	7372	1410384	2016
Inuvo, Inc.-16	THK	7310	829323	2016
WORLD WRESTLING ENTERTAINMENTINC-16	WWE	7812	1091907	2016
LINKEDIN CORP-16	LNKD	7370	1271024	2016
MASTERCARD INC-16	MA	7389	1141391	2016
RYDER SYSTEM INC-16	R	7510	85961	2016
AWARE INC /MA/-16	AWRE	7372	1015739	2016
VARONIS SYSTEMS INC-16	VRNS	7372	1361113	2016
SHUTTERFLY INC-16	SFLY	7384	1125920	2016
Where Food Comes From, Inc.-16	Unknown	7372	1360565	2016
Skkynet Cloud Systems, Inc.-16	SKKY	7372	1546853	2016
FALCONSTOR SOFTWARE INC-16	FALC	7372	922521	2016
Priceline Group Inc.-16	PCLN	7389	1075531	2016
CERNER CORP /MO/-16	CERN	7373	804753	2016
CADENCE DESIGN SYSTEMS INC-16	CDNS	7372	813672	2016
Liberty TripAdvisor Holdings, Inc.-16	Unknown	7374	1606745	2016
MARRIOTT INTERNATIONAL INC /MD/-16	MAR	7011	1048286	2016
Internap Corp-16	INAP	7370	1056386	2016
Six Flags Entertainment Corp-16	PKS	7990	701374	2016
Hyatt Hotels Corp-16	H	7011	1468174	2016
WEST CORP-16	WSTC	7389	1024657	2016
TripAdvisor, Inc.-16	TRIP	7370	1526520	2016
XEROX CORP-16	XRX	7389	108772	2016
Nielsen Holdings plc-16	NLSN	7389	1492633	2016
NATIONAL INSTRUMENTS CORP-16	NATI	7372	935494	2016
VERISIGN INC/CA-16	VRSN	7371	1014473	2016
ZYNGA INC-16	ZNGA	7374	1439404	2016
ZYNGA INC-16	ZNGA	7374	1439404	2016
Western Union CO-16	WU	7389	1365135	2016
IMS Health Holdings, Inc.-16	IMS	7374	1595262	2016
Sabre Corp-16	SABR	7370	1597033	2016
INSTRUCTURE INC-16	INST	7372	1355754	2016
LogMeIn, Inc.-16	LOGM	7372	1420302	2016
FISERV INC-16	FISV	7374	798354	2016
PROS Holdings, Inc.-16	PRO	7371	1392972	2016
TransUnion-16	Unknown	7320	1552033	2016
alpha-En Corp-16	PIXG	7819	1023298	2016
TODEX CORP.-16	Unknown	7372	1625095	2016
HOST HOTELS & RESORTS L.P.-16	Unknown	7011	1061937	2016
CARDTRONICS INC-16	CATM	7389	1277856	2016
ManpowerGroup Inc.-16	MAN	7363	871763	2016
LendingClub Corp-16	Unknown	7389	1409970	2016
Paycom Software, Inc.-16	PAYC	7372	1590955	2016
SCIQUEST INC-16	SQI	7372	1082526	2016
CONVERGYS CORP-16	CVG	7373	1062047	2016
MARIN SOFTWARE INC-16	MRIN	7374	1389002	2016
MOBILEIRON, INC.-16	Unknown	7372	1470099	2016
NIC INC-16	EGOV	7389	1065332	2016
ESH Hospitality, Inc.-16	Unknown	7011	1507563	2016
CARRIAGE SERVICES INC-16	CSV	7200	1016281	2016
COGENT COMMUNICATIONS HOLDINGS, INC.-16	CCOI	7372	1158324	2016
COGENT COMMUNICATIONS HOLDINGS, INC.-16	CCOI	7372	1158324	2016
HUBSPOT INC-16	HUBS	7372	1404655	2016
Cinemark Holdings, Inc.-16	CNK	7830	1385280	2016
YELP INC-16	YELP	7200	1345016	2016
AMN HEALTHCARE SERVICES INC-16	AHS	7363	1142750	2016
BLUCORA, INC.-16	INSP	7374	1068875	2016
BLACKBAUD INC-16	BLKB	7372	1280058	2016
NETSUITE INC-16	N	7372	1117106	2016
ADEPTPROS INC-16	Unknown	7371	1607551	2016
AVIS BUDGET GROUP, INC.-16	CAR	7510	723612	2016
SPS COMMERCE INC-16	SPSC	7372	1092699	2016
ROLLINS INC-16	ROL	7340	84839	2016
TYLER TECHNOLOGIES INC-16	TYL	7372	860731	2016
CHURCHILL DOWNS Inc-16	CHDN	7948	20212	2016
ANSYS INC-16	ANSS	7372	1013462	2016
MOODYS CORP /DE/-16	MCO	7320	1059556	2016
MOODYS CORP /DE/-16	MCO	7320	1059556	2016
STARWOOD HOTEL & RESORTS WORLDWIDE, INC-16	HOT	7011	316206	2016
KANGE CORP-16	Unknown	7371	1593773	2016
KANGE CORP-16	Unknown	7371	1593773	2016
COGNIZANT TECHNOLOGY SOLUTIONS CORP-16	CTSH	7371	1058290	2016
COGNIZANT TECHNOLOGY SOLUTIONS CORP-16	CTSH	7371	1058290	2016
Clear Channel Outdoor Holdings, Inc.-16	CCO	7310	1334978	2016
PEGASYSTEMS INC-16	PEGA	7374	1013857	2016
CHANNELADVISOR CORP-16	ECOM	7372	1169652	2016
TOTAL SYSTEM SERVICES INC-16	TSS	7389	721683	2016
WAGEWORKS, INC.-16	WAGE	7389	1158863	2016
FIRST DATA CORP-16	FDC	7389	883980	2016
MCGRATH RENTCORP-16	MGRC	7359	752714	2016
ALLIANCE DATA SYSTEMS CORP-16	ADS	7389	1101215	2016
PROOFPOINT INC-16	PFPT	7374	1212458	2016
VMWARE, INC.-16	VMW	7372	1124610	2016
RITCHIE BROS AUCTIONEERS INC-16	RBA	7389	1046102	2016
Digimarc CORP-16	DMRC	7373	1438231	2016
Digimarc CORP-16	DMRC	7373	1438231	2016
AIR LEASE CORP-16	AL	7359	1487712	2016
