CONFORMED-NAME	TICKER	SIC	CIK	YEAR
SPAN AMERICA MEDICAL SYSTEMS INC-16	SPAN	3842	718924	2016
UNIVERSAL DETECTION TECHNOLOGY-16	UNDT	3823	763950	2016
MYnd Analytics, Inc.-16	CNSO	8090	822370	2016
4NET SOFTWARE INC-16	FNSI	7370	812149	2016
Cannabics Pharmaceuticals Inc.-16	AMCM	1000	1343009	2016
PHOTRONICS INC-16	PLAB	3674	810136	2016
LUMIOX, INC.-16	Unknown	3640	1631001	2016
CAN CAL RESOURCES LTD-16	CCRE	1000	1083848	2016
TRANSATLANTIC CAPITAL INC.-16	ACRI	8742	1228386	2016
XSUNX INC-16	XSNX	3081	1039466	2016
HURCO COMPANIES INC-16	HURC	3823	315374	2016
Media Analytics Corp-16	FSPT	7372	1518171	2016
EL CAPITAN PRECIOUS METALS INC-16	ECPN	1000	1135202	2016
Limoneira CO-16	LMNR	100	1342423	2016
A&C United Agriculture Developing Inc.-16	Unknown	100	1539778	2016
ARKANOVA ENERGY CORP.-16	AKVA	1381	1191359	2016
AMERICAN CRYOSTEM Corp-16	CRYO	8090	1468679	2016
Kibush Capital Corp-16	Unknown	1400	1614466	2016
Bulova Technologies Group, Inc.-16	BLVT	5084	317889	2016
LIBERATED ENERGY, INC.-16	Unknown	2030	1503161	2016
Ominto, Inc.-16	MEDG	7389	1097792	2016
BLUE SPHERE CORP.-16	BLSP	7370	1419582	2016
NEAH POWER SYSTEMS, INC.-16	NPWZ	3690	1162816	2016
HICKOK INC-16	HICKA	3823	47307	2016
PEAK PHARMACEUTICALS, INC.-16	FWSI	2834	1452804	2016
NuZee, Inc.-16	Unknown	5900	1527613	2016
URSTADT BIDDLE PROPERTIES INC-16	UBA	6798	1029800	2016
SBH ASSOCIATES, INC.-16	Unknown	8742	1571919	2016
Breezer Ventures Inc.-16	BRZV	5812	1337182	2016
Alternative Investment Corp-16	CDVV	4813	1405660	2016
Avant Diagnostics, Inc-16	Unknown	7350	1451929	2016
IHO-AGRO INTERNATIONAL INC.-16	Unknown	5190	1635538	2016
ACTIVECARE, INC.-16	ACAR	3669	1429896	2016
LIVE VENTURES Inc-16	LIVE	7371	1045742	2016
CASPIAN SERVICES INC-16	CSSV	4400	1093430	2016
CHINA BAK BATTERY INC-16	CBAK	3690	1117171	2016
BALLY, CORP.-16	Unknown	5200	1591565	2016
AmeriCann, Inc.-16	Unknown	8742	1508348	2016
TRIMEDYNE INC-16	TMED	3845	357001	2016
Cleartronic, Inc.-16	Unknown	4812	1362516	2016
CROSSROADS SYSTEMS INC-16	CRDS	3577	1093207	2016
DALA PETROLEUM CORP.-16	Unknown	1311	845819	2016
First Titan Corp.-16	Unknown	1311	1502152	2016
AEP INDUSTRIES INC-16	AEPI	3081	785787	2016
AcroBoo, Inc.-16	ACRO	7389	1497251	2016
CURRENCYSHARES EURO TRUST-16	FXE	6221	1328598	2016
CURRENCYSHARES BRITISH POUND STERLING TRUST-16	Unknown	6221	1353611	2016
CURRENCYSHARES SWEDISH KRONA TRUST-16	Unknown	6221	1353616	2016
CURRENCYSHARES SWISS FRANC TRUST-16	Unknown	6221	1353615	2016
CurrencyShares Singapore Dollar Trust-16	Unknown	6221	1433994	2016
CURRENCYSHARES AUSTRALIAN DOLLAR TRUST-16	Unknown	6221	1353614	2016
BULK STORAGE SOFTWARE, INC.-16	Unknown	3572	1453883	2016
WL Ross Holding Corp.-16	WLRHU	6770	1604416	2016
Inspired Builders, Inc.-16	ISRB	1520	1509786	2016
CURRENCYSHARES CANADIAN DOLLAR TRUST-16	Unknown	6221	1353612	2016
VOLT INFORMATION SCIENCES, INC.-16	VISI	7363	103872	2016
CURRENCYSHARES CHINESE RENMINBI TRUST-16	Unknown	6221	1519405	2016
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY-16	FREVS	6798	36840	2016
CURRENCYSHARES JAPANESE YEN TRUST-16	Unknown	6221	1353613	2016
SharkReach, Inc.-16	Unknown	7380	1561782	2016
SHILOH INDUSTRIES INC-16	SHLO	3460	904979	2016
BRIDGFORD FOODS CORP-16	BRID	2013	14177	2016
CD INTERNATIONAL ENTERPRISES, INC.-16	EVLO	3330	1088787	2016
SILVER BULL RESOURCES, INC.-16	SVBR	1000	1031093	2016
ADOBE SYSTEMS INC-16	ADBE	7372	796343	2016
AXIOM HOLDINGS, INC.-16	Unknown	4700	1584584	2016
COSTO INC.-16	Unknown	5013	1621199	2016
Interups Inc-16	Unknown	7374	1554947	2016
BASSETT FURNITURE INDUSTRIES INC-16	BSET	2511	10329	2016
SmooFi, Inc.-16	Unknown	7310	1592603	2016
VASCULAR SOLUTIONS INC-16	VASC	3841	1030206	2016
PANTHER BIOTECHNOLOGY, INC.-16	Unknown	8700	1530981	2016
Adaiah Distribution Inc-16	Unknown	5020	1593204	2016
OMNOVA SOLUTIONS INC-16	OMN	3060	1090061	2016
Pace Holdings Corp.-16	Unknown	6770	1644509	2016
COFFEE HOLDING CO INC-16	JVA	5140	1007019	2016
FinTech Acquisition Corp-16	FNTCU	6770	1614818	2016
NOVAGOLD RESOURCES INC-16	NG	1040	1173420	2016
CIPHERLOC Corp-16	NSCT	7374	1022505	2016
SCIVANTA MEDICAL CORP-16	MHUT	3841	1093285	2016
FLOTEK INDUSTRIES INC/CN/-16	FTK	2890	928054	2016
SCHLUMBERGER LTD /NV/-16	SLB	1389	87347	2016
FULLER H B CO-16	FUL	2891	39368	2016
Rampart Studios Inc.-16	Unknown	6770	1432271	2016
Dutch Oven Gold Group Inc.-16	Unknown	6770	1411168	2016
Jayhawk Energy, Inc.-16	JYHW	1311	1308710	2016
FIRST ASIA HOLDINGS Ltd-16	MLOBF	6153	1081568	2016
R F INDUSTRIES LTD-16	RFIL	3678	740664	2016
GREENWIND NRG INC-16	Unknown	3612	1537274	2016
NOBILITY HOMES INC-16	NOBH	2451	72205	2016
SYNNEX CORP-16	SNX	5045	1177394	2016
Comstock Mining Inc.-16	LODE	1040	1120970	2016
OPTICAL CABLE CORP-16	OCCF	3357	1000230	2016
UNITIL CORP-16	UTL	4931	755001	2016
MCCORMICK & CO INC-16	MKC	2090	63754	2016
RBC Covered Bond Guarantor Limited Partnership-16	Unknown	6189	1550369	2016
Facebook Inc-16	FB	7370	1326801	2016
PACIFIC GOLD CORP-16	PCFG	1040	1137855	2016
B-Scada, Inc.-16	Unknown	7372	1341878	2016
ENDEAVOR IP, INC.-16	ENIP	7389	1511261	2016
PRIME GLOBAL CAPITAL GROUP Inc-16	PGCG	7370	1462047	2016
PROGRESS SOFTWARE CORP /MA-16	PRGS	7372	876167	2016
CAMERON INTERNATIONAL CORP-16	CAM	3533	941548	2016
MGC DIAGNOSTICS Corp-16	ANGN	3841	815093	2016
CHAMPION INDUSTRIES INC-16	CHMP	2750	19149	2016
Quest Management Inc-16	Unknown	3949	1627554	2016
Medical Information Technology, Inc.-16	Unknown	7372	1011452	2016
MAGICSTEM GROUP CORP.-16	Unknown	3670	1566561	2016
Jefferies Group LLC-16	JEF	6211	1084580	2016
AMAZON COM INC-16	AMZN	5961	1018724	2016
Pharma-Bio Serv, Inc.-16	PBSV	8742	1304161	2016
Wellness Center USA, Inc.-16	WCUI	2834	1516887	2016
ScripsAmerica, Inc.-16	Unknown	5122	1521476	2016
ANDES 9 INC.-16	Unknown	6770	1650203	2016
OAKRIDGE HOLDINGS INC-16	OKRG	3728	73605	2016
ANDES 7 INC.-16	Unknown	6770	1650205	2016
NORTHROP GRUMMAN CORP /DE/-16	NOC	3812	1133421	2016
Integrity Capital Income Fund, Inc.-16	Unknown	0	1598893	2016
ANDES 8 INC.-16	Unknown	6770	1650204	2016
HedgePath Pharmaceuticals, Inc.-16	CBTEQ	8731	1042418	2016
SIGNAL BAY, INC.-16	Unknown	7600	715788	2016
Sensata Technologies Holding N.V.-16	ST	3823	1477294	2016
INTUITIVE SURGICAL INC-16	ISRG	3842	1035267	2016
SIRIUS XM HOLDINGS INC.-16	SIRI	4832	908937	2016
ARTS WAY MANUFACTURING CO INC-16	ARTW	3523	7623	2016
General Motors Financial Company, Inc.-16	ACF	6199	804269	2016
MDC HOLDINGS INC-16	MDC	1531	773141	2016
Nukkleus Inc.-16	Unknown	8742	1592782	2016
Global Fashion Technologies, Inc.-16	PPBG	5130	1338929	2016
OUTERWALL INC-16	OUTR	7200	941604	2016
