CONFORMED-NAME	SIC	CIK	YEAR
SYNOPSYS INC-07	7372	883241	2007
VOLT INFORMATION SCIENCES, INC.-07	7363	103872	2007
TELYNX INC-07	7371	852164	2007
IHS Inc.-07	7370	1316360	2007
WESTAFF INC-07	7363	931911	2007
VERSANT CORP-07	7372	865917	2007
MEDICAL INFORMATION TECHNOLOGY INC-07	7372	1011452	2007
NATIONAL INSTRUMENTS CORP /DE/-07	7372	935494	2007
HALF ROBERT INTERNATIONAL INC /DE/-07	7363	315213	2007
UNISYS CORP-07	7373	746838	2007
SPHERION CORP-07	7363	914536	2007
IMS HEALTH INC-07	7374	1058083	2007
OMNICOM GROUP INC-07	7311	29989	2007
AARON RENTS INC-07	7359	706688	2007
EQUIFAX INC-07	7320	33185	2007
WEBSENSE INC-07	7389	1098277	2007
ROLLINS INC-07	7340	84839	2007
EFUNDS CORP-07	7389	1109190	2007
TAKE TWO INTERACTIVE SOFTWARE INC-07	7372	946581	2007
SOTHEBYS-07	7389	823094	2007
DST SYSTEMS INC-07	7374	714603	2007
Clear Channel Outdoor Holdings, Inc.-07	7310	1334978	2007
VALUECLICK INC/CA-07	7311	1080034	2007
UNIVERSAL COMPRESSION INC-07	7359	1057233	2007
MONSTER WORLDWIDE INC-07	7311	1020416	2007
EARTHLINK INC-07	7370	1102541	2007
TYLER TECHNOLOGIES INC-07	7372	860731	2007
SYBASE INC-07	7372	768262	2007
LAMAR MEDIA CORP/DE-07	7311	899045	2007
SPSS INC-07	7372	869570	2007
CDI CORP-07	7363	18396	2007
NYFIX INC-07	7373	99047	2007
IPAYMENT INC-07	7389	1140184	2007
MERGE TECHNOLOGIES INC-07	7373	944765	2007
DIGIMARC CORP-07	7373	1089443	2007
EPIQ SYSTEMS INC-07	7371	1027207	2007
HMS HOLDINGS CORP-07	7389	1196501	2007
INTERPOOL INC-07	7359	898777	2007
SUNGARD DATA SYSTEMS INC-07	7374	789388	2007
COMSYS IT PARTNERS INC-07	7363	948850	2007
WILLIAMS SCOTSMAN INTERNATIONAL INC-07	7359	923144	2007
TAL International Group, Inc.-07	7359	1331745	2007
LOGICVISION INC-07	7372	1041418	2007
Compass Group Diversified Holdings LLC-07	7363	1345122	2007
SI INTERNATIONAL INC-07	7373	1143363	2007
L-1 IDENTITY SOLUTIONS, INC.-07	7373	1018332	2007
ABLEST INC-07	7363	46653	2007
RIGHTNOW TECHNOLOGIES INC-07	7372	1111247	2007
COGENT COMMUNICATIONS GROUP INC-07	7372	1158324	2007
NESS TECHNOLOGIES INC-07	7371	1089638	2007
WIDEPOINT CORP-07	7373	1034760	2007
SYNTEL INC-07	7371	1040426	2007
EVOLVING SYSTEMS INC-07	7371	1052054	2007
CASS INFORMATION SYSTEMS INC-07	7389	708781	2007
CROSS COUNTRY HEALTHCARE INC-07	7363	1141103	2007
PROXYMED INC /FT LAUDERDALE/-07	7374	906337	2007
FALCONSTOR SOFTWARE INC-07	7372	922521	2007
DATATRAK INTERNATIONAL INC-07	7372	886530	2007
KENEXA CORP-07	7372	1114714	2007
EMAGEON INC-07	7372	1121439	2007
VIEWPOINT CORP-07	7372	919794	2007
MDC PARTNERS INC-07	7311	876883	2007
INFOCROSSING INC-07	7374	893816	2007
LOOKSMART LTD-07	7374	1077866	2007
NETRATINGS INC-07	7389	1095480	2007
COMPUTER HORIZONS CORP-07	7373	23019	2007
VASCO DATA SECURITY INTERNATIONAL INC-07	7373	1044777	2007
BARRETT BUSINESS SERVICES INC-07	7363	902791	2007
INTERNET CAPITAL GROUP INC-07	7389	1085621	2007
MIVA, INC.-07	7389	1094808	2007
ADVENT SOFTWARE INC /DE/-07	7371	1002225	2007
PROTECTION ONE ALARM MONITORING INC-07	7380	916310	2007
ON ASSIGNMENT INC-07	7363	890564	2007
WEB.COM, INC.-07	7389	854460	2007
Aircastle LTD-07	7359	1362988	2007
RCM TECHNOLOGIES INC-07	7363	700841	2007
GLOBALSCAPE INC-07	7372	1112920	2007
TECHNOLOGY SOLUTIONS COMPANY-07	7373	877645	2007
AXS ONE INC-07	7372	947427	2007
ZHONGPIN INC.-07	7363	1277092	2007
CLAYTON HOLDINGS INC-07	7389	1325228	2007
USA VIDEO INTERACTIVE CORP-07	7389	1107280	2007
JUPITERMEDIA CORP-07	7389	1083712	2007
EASYLINK SERVICES CORP-07	7389	1081661	2007
MEDecision, Inc.-07	7371	1367705	2007
DONNELLEY R H INC-07	7310	1065310	2007
AHERN RENTALS INC-07	7359	1337913	2007
GOLDLEAF FINANCIAL SOLUTIONS INC.-07	7372	1069469	2007
DATALINK CORP-07	7373	1056923	2007
INTELLIGROUP INC-07	7373	1016439	2007
TECHNOLOGY FUNDING PARTNERS III L P-07	7372	808066	2007
Helios & Matheson North America Inc.-07	7380	1040792	2007
DIVX INC-07	7371	1342960	2007
THINK PARTNERSHIP INC-07	7310	829323	2007
MGT CAPITAL INVESTMENTS INC-07	7372	1001601	2007
INSWEB CORP-07	7389	1077370	2007
JMXI INC-07	7389	1039446	2007
INFORTE CORP-07	7373	1099944	2007
Titanium Group LTD-07	7373	1338520	2007
DG FastChannel, Inc-07	7389	934448	2007
COMMONWEALTH INCOME & GROWTH FUND II-07	7350	938322	2007
COMMONWEALTH INCOME & GROWTH FUND I-07	7350	913141	2007
CRDENTIA CORP-07	7361	1073857	2007
COMMONWEALTH INCOME & GROWTH FUND IV-07	7350	1141615	2007
COVER ALL TECHNOLOGIES INC-07	7372	737300	2007
NEUTRON ENTERPRISES INC-07	7389	1135140	2007
Allied Security Holdings LLC-07	7381	1301566	2007
SPAR GROUP INC-07	7389	1004989	2007
DENDRITE INTERNATIONAL INC-07	7372	880321	2007
LQ CORP INC-07	7373	1016613	2007
EMAK Worldwide, Inc.-07	7311	911151	2007
CARDTRONICS INC-07	7389	1277856	2007
Spheris Inc.-07	7389	1355804	2007
COMMONWEALTH INCOME & GROWTH FUND III-07	7350	1038878	2007
BROADCAST INTERNATIONAL INC-07	7389	740726	2007
DYNABAZAAR INC-07	7389	1053676	2007
INTERPLAY ENTERTAINMENT CORP-07	7372	1057232	2007
CRITICAL PATH INC-07	7389	1060801	2007
Global Employment Holdings, Inc.-07	7363	1348155	2007
Paradigm Holdings, Inc-07	7373	313353	2007
IMAGEWARE SYSTEMS INC-07	7372	941685	2007
SOURCE INTERLINK COMPANIES INC-07	7331	943605	2007
INTRAWARE INC-07	7389	1025134	2007
CONVERA CORP-07	7372	1125536	2007
TRANSACTION SYSTEMS ARCHITECTS INC-07	7372	935036	2007
ACXIOM CORP-07	7374	733269	2007
COMPUWARE CORP-07	7372	859014	2007
BMC SOFTWARE INC-07	7372	835729	2007
QUALITY SYSTEMS INC-07	7373	708818	2007
ANSOFT CORP-07	7372	849433	2007
ACTIVISION INC /NY-07	7372	718877	2007
Hostopia.com Inc.-07	7389	1365295	2007
MTM Technologies, Inc.-07	7373	906282	2007
ILINC COMMUNICATIONS INC-07	7370	1042291	2007
MEDQUIST INC-07	7374	884497	2007
AMREP CORP.-07	7389	6207	2007
MANATRON INC-07	7373	798736	2007
UNIFY CORP-07	7372	880562	2007
MICROSOFT CORP-07	7372	789019	2007
TSR INC-07	7371	98338	2007
AFFILIATED COMPUTER SERVICES INC-07	7374	2135	2007
AUTOMATIC DATA PROCESSING INC-07	7374	8670	2007
HENRY JACK & ASSOCIATES INC-07	7373	779152	2007
IMERGENT INC-07	7373	1075736	2007
SYNAPTICS INC-07	7371	817720	2007
AUTHENTIDATE HOLDING CORP-07	7373	885074	2007
INTUIT INC-07	7372	896878	2007
SOLERA HOLDINGS, INC-07	7370	1324245	2007
SPRINGFIELD COMPANY, INC.-07	7371	1157850	2007
SPRINGFIELD COMPANY, INC.-07	7371	1157850	2007
SPRINGFIELD COMPANY, INC.-07	7371	1157850	2007
JL HALSEY CORP-07	7372	1166220	2007
ACE COMM CORP-07	7373	1017526	2007
MPHASE TECHNOLOGIES INC-07	7385	825322	2007
SourceForge, Inc-07	7370	1096199	2007
DYNTEK INC-07	7389	879465	2007
FORGENT NETWORKS  INC-07	7373	884144	2007
JAG MEDIA HOLDINGS INC-07	7389	1089029	2007
ISLAND PACIFIC INC-07	7372	866535	2007
CAM COMMERCE SOLUTIONS INC-07	7373	819334	2007
TYCO INTERNATIONAL LTD /BER/-07	7380	833444	2007
BladeLogic, Inc.-07	7372	1175685	2007
EMTEC INC/NJ-07	7389	5117	2007
LIQUIDITY SERVICES INC-07	7389	1235468	2007
ACTIVIDENTITY CORP-07	7372	1183941	2007
INNOVATIVE SOLUTIONS & SUPPORT INC-07	7371	836690	2007
NETWORK ENGINES INC-07	7372	1110903	2007
COMDISCO HOLDING CO INC-07	7377	1179484	2007
TAKE TWO INTERACTIVE SOFTWARE INC-07	7372	946581	2007
SYNOPSYS INC-07	7372	883241	2007
INFOTECH USA INC-07	7373	1037417	2007
VOLT INFORMATION SCIENCES, INC.-08	7363	103872	2008
SUNAIR SERVICES CORP-08	7340	95366	2008
BUTLER INTERNATIONAL INC /MD/-08	7363	786765	2008
WESTAFF INC-08	7363	931911	2008
MEDICAL INFORMATION TECHNOLOGY INC-08	7372	1011452	2008
UNITED ONLINE INC-08	7370	1142701	2008
HALF ROBERT INTERNATIONAL INC /DE/-08	7363	315213	2008
MONSTER WORLDWIDE INC-08	7311	1020416	2008
SPSS INC-08	7372	869570	2008
BROADVISION INC-08	7372	920448	2008
OMNICOM GROUP INC-08	7311	29989	2008
PROS Holdings, Inc.-08	7371	1392972	2008
QUEST SOFTWARE INC-08	7372	1088033	2008
SONIC SOLUTIONS/CA/-08	7373	916235	2008
DST SYSTEMS INC-08	7374	714603	2008
NATIONAL INSTRUMENTS CORP /DE/-08	7372	935494	2008
ELECTRONIC DATA SYSTEMS CORP /DE/-08	7370	1007456	2008
SOTHEBYS-08	7389	823094	2008
EQUIFAX INC-08	7320	33185	2008
COGENT COMMUNICATIONS GROUP INC-08	7372	1158324	2008
TYLER TECHNOLOGIES INC-08	7372	860731	2008
PREMIERE GLOBAL SERVICES, INC.-08	7389	880804	2008
RENAISSANCE LEARNING INC-08	7372	1030484	2008
EPIQ SYSTEMS INC-08	7371	1027207	2008
ANALYSTS INTERNATIONAL CORP-08	7371	6292	2008
CIBER INC-08	7371	918581	2008
SUNGARD DATA SYSTEMS INC-08	7374	789388	2008
ZAP COM CORP-08	7310	1083243	2008
MDC PARTNERS INC-08	7311	876883	2008
uVuMobile, Inc-08	7389	1089525	2008
SONICWALL INC-08	7389	1093885	2008
FALCONSTOR SOFTWARE INC-08	7372	922521	2008
INTERNET BRANDS, INC.-08	7389	1080131	2008
COMSYS IT PARTNERS INC-08	7363	948850	2008
SI INTERNATIONAL INC-08	7373	1143363	2008
SPHERION CORP-08	7363	914536	2008
CASS INFORMATION SYSTEMS INC-08	7389	708781	2008
SUPPORTSOFT INC-08	7374	1104855	2008
ADVENT SOFTWARE INC /DE/-08	7371	1002225	2008
Vangent, Inc.-08	7373	1402478	2008
EVOLVING SYSTEMS INC-08	7371	1052054	2008
CROSS COUNTRY HEALTHCARE INC-08	7363	1141103	2008
OPTIMAL GROUP INC-08	7389	1015923	2008
ARTIFICIAL LIFE INC-08	7372	1070361	2008
MIVA, INC.-08	7389	1094808	2008
HMS HOLDINGS CORP-08	7389	1196501	2008
IPAYMENT INC-08	7389	1140184	2008
LIVEPERSON INC-08	7389	1102993	2008
DATATRAK INTERNATIONAL INC-08	7372	886530	2008
LOOKSMART LTD-08	7374	1077866	2008
ANTS SOFTWARE INC-08	7371	796655	2008
GLOBALINK, LTD.-08	7389	1361540	2008
NESS TECHNOLOGIES INC-08	7371	1089638	2008
DG FastChannel, Inc-08	7389	934448	2008
GSE SYSTEMS INC-08	7372	944480	2008
SYNPLICITY INC-08	7372	1027362	2008
ENLIVEN MARKETING TECHNOLOGIES CORP-08	7372	919794	2008
WIZZARD SOFTWARE CORP /CO-08	7372	1074909	2008
VITAL IMAGES INC-08	7372	912888	2008
PROTECTION ONE INC-08	7380	916230	2008
IPASS INC-08	7374	1053374	2008
INTERNET CAPITAL GROUP INC-08	7389	1085621	2008
COMFORCE CORP-08	7363	6814	2008
RCM TECHNOLOGIES INC-08	7363	700841	2008
Disaboom, Inc.-08	7389	1393901	2008
LOGICVISION INC-08	7372	1041418	2008
MONEYGRAM INTERNATIONAL INC-08	7389	1273931	2008
Hyperion Energy, Inc.-08	7363	1392488	2008
GLOBALSCAPE INC-08	7372	1112920	2008
AHERN RENTALS INC-08	7359	1337913	2008
SIBONEY CORP-08	7389	90057	2008
TUCOWS INC /PA/-08	7374	909494	2008
AUTODESK INC-08	7372	769397	2008
CRDENTIA CORP-08	7363	1073857	2008
SPAR GROUP INC-08	7389	1004989	2008
TECHNOLOGY SOLUTIONS COMPANY-08	7373	877645	2008
China Public Security Technology, Inc.-08	7372	1350684	2008
CIMETRIX INC-08	7372	786620	2008
SIELOX INC-08	7381	1053676	2008
ICON Leasing Fund Twelve, LLC-08	7359	1377848	2008
HEALTHAXIS INC-08	7371	768892	2008
ZANETT INC-08	7389	1133872	2008
INTELLIGROUP INC-08	7373	1016439	2008
TechTarget Inc-08	7389	1293282	2008
ABLEAUCTIONS COM INC-08	7389	1099290	2008
COMPUTER HORIZONS CORP-08	7373	23019	2008
ZUNICOM INC-08	7389	886912	2008
EMAK Worldwide, Inc.-08	7311	911151	2008
LEAF Equipment Leasing Income Fund III, L.P.-08	7350	1376074	2008
Lease Equity Appreciation Fund II, L.P.-08	7350	1294154	2008
LEASE EQUITY APPRECIATION FUND I LP-08	7350	1169083	2008
INSWEB CORP-08	7389	1077370	2008
Boatatopia-08	7310	1387341	2008
Northport Capital Inc.-08	7374	1374976	2008
ARGYLE SECURITY, INC.-08	7381	1332585	2008
PACIFIC WEBWORKS INC-08	7372	1086303	2008
THINK PARTNERSHIP INC-08	7310	829323	2008
INTERNAP NETWORK SERVICES CORP-08	7370	1056386	2008
ISSUER DIRECT CORP-08	7370	843006	2008
VERTIS INC-08	7311	1178717	2008
AMARU INC-08	7389	1139822	2008
JMXI INC-08	7389	1039446	2008
INTERPLAY ENTERTAINMENT CORP-08	7372	1057232	2008
BROADCAST INTERNATIONAL INC-08	7389	740726	2008
WORDLOGIC CORP-08	7389	1139614	2008
Powerraise Inc-08	7389	1374718	2008
WWA GROUP INC-08	7389	1036478	2008
DOMAIN REGISTRATION CORP-08	7389	1080908	2008
ICON INCOME FUND EIGHT B LP-08	7359	1121716	2008
SKYLYFT Media Group, Inc.-08	7310	1379173	2008
ICON INCOME FUND NINE LLC-08	7359	1157522	2008
PURCHASE POINT MEDIA CORP-08	7310	1001065	2008
MPC CORP-08	7372	1289871	2008
Trustcash Holdings, Inc.-08	7389	1157688	2008
WIDEPOINT CORP-08	7373	1034760	2008
Nutradyne Group, Inc.-08	7372	1087848	2008
QAD INC-08	7372	1036188	2008
MARSHALL HOLDINGS INTERNATIONAL, INC.-08	7389	1062760	2008
SECURED DIGITAL APPLICATIONS INC-08	7380	940516	2008
China Logistics Group Inc-08	7389	1123493	2008
Global Employment Holdings, Inc.-08	7363	1348155	2008
INTELLIGENTIAS, INC.-08	7389	1322387	2008
SILVERGRAPH INTERNATIONAL INC-08	7330	1115975	2008
CAPSOURCE FINANCIAL INC-08	7350	1173359	2008
SOURCE INTERLINK COMPANIES INC-08	7331	943605	2008
IMAGEWARE SYSTEMS INC-08	7372	941685	2008
ICON INCOME FUND TEN LLC-08	7359	1220606	2008
PROXYMED INC /FT LAUDERDALE/-08	7374	906337	2008
INNOTRAC CORP-08	7389	1051114	2008
SEDONA CORP-08	7372	764843	2008
ICON Leasing Fund Eleven, LLC-08	7359	1312910	2008
INTRAWARE INC-08	7389	1025134	2008
AMERICAN POST TENSION, INC.-08	7380	1205332	2008
PINPOINT RECOVERY SOLUTIONS CORP-08	7389	1402811	2008
BMC SOFTWARE INC-08	7372	835729	2008
COMPUWARE CORP-08	7372	859014	2008
INTERNATIONAL ENERGY, INC.-08	7389	1081074	2008
QUALITY SYSTEMS INC-08	7373	708818	2008
ACCESS INTEGRATED TECHNOLOGIES INC-08	7389	1173204	2008
INTERACTIVE MOTORSPORTS & ENTERTAINMENT CORP-08	7389	1115551	2008
LML PAYMENT SYSTEMS INC-08	7389	781891	2008
SONIC SOLUTIONS/CA/-08	7373	916235	2008
MTM Technologies, Inc.-08	7373	906282	2008
COACTIVE MARKETING GROUP INC-08	7310	886475	2008
ANSOFT CORP-08	7372	849433	2008
ENXNET INC-08	7372	1083706	2008
Hostopia.com Inc.-08	7389	1365295	2008
BARRICODE, INC.-08	7372	1398633	2008
ILINC COMMUNICATIONS INC-08	7370	1042291	2008
UNIFY CORP-08	7372	880562	2008
GOLDEN KEY INTERNATIONAL INC-08	7389	1080627	2008
COASTLINE CORPORATE SERVICES, INC.-08	7389	1401670	2008
NORTH AMERICAN NATURAL GAS INC-08	7389	1112425	2008
Your Digital Memories Inc-08	7372	1400000	2008
ZEEZOO SOFTWARE CORP.-08	7372	1395400	2008
MICROSOFT CORP-08	7372	789019	2008
K's Media-08	7310	1368256	2008
DEVELOCAP INC-08	7363	1279740	2008
TSR INC-08	7371	98338	2008
Ads in Motion, Inc.-08	7310	1403243	2008
SupportSave Solutions Inc-08	7363	1401475	2008
SYNAPTICS INC-08	7371	817720	2008
SOFTECH INC-08	7373	354260	2008
AFFILIATED COMPUTER SERVICES INC-08	7374	2135	2008
Portlogic Systems Inc.-08	7372	1413990	2008
HENRY JACK & ASSOCIATES INC-08	7373	779152	2008
AUTOMATIC DATA PROCESSING INC-08	7374	8670	2008
IMERGENT INC-08	7373	1075736	2008
Principle Security International, Inc.-08	7381	1410690	2008
INTUIT INC-08	7372	896878	2008
LYRIS, INC.-08	7372	1166220	2008
USChina Channel Inc-08	7389	1367898	2008
Derycz Scientific Inc-08	7389	1386301	2008
Quantum Ventures Inc.-08	7372	1301843	2008
SimpleTech Inc.-08	7370	1403739	2008
CLICKNSETTLE COM INC-08	7389	925741	2008
Marine Exploration Inc-08	7389	1019654	2008
Homeland Security Capital CORP-08	7373	1006459	2008
FERO INDUSTRIES, INC.-08	7389	1409475	2008
SILVERSTAR HOLDINGS LTD-08	7372	1003390	2008
CONCIERGE TECHNOLOGIES INC-08	7389	1005101	2008
INTERNATIONAL AUTOMATED SYSTEMS INC-08	7372	820380	2008
SourceForge, Inc-08	7370	1096199	2008
COL CHINA ONLINE INTERNATIONAL INC-08	7389	1114274	2008
Empirical ventures, Inc.-08	7372	1301704	2008
SEAMLESS Corp-08	7370	880584	2008
BROADCASTER INC-08	7372	814929	2008
ACCENTURE SCA-08	7389	1143908	2008
Emo Capital Corp.-08	7370	1410708	2008
Total Nutraceutical Solutions-08	7363	1408299	2008
FORGENT NETWORKS  INC-08	7373	884144	2008
Sage Interactive, Inc.-08	7389	1416682	2008
Vita Spirits Corp.-08	7372	1371534	2008
